number,scientific_name,english_common_name,japanese_common_name
1,Abeomelomys sevia,Mouse,ネズミ
2,Abrawayaomys chebezi,Mouse,ネズミ
3,Abrawayaomys ruschii,Mouse,ネズミ
4,Abrocoma bennettii,None,ネズミ
5,Abrocoma boliviensis,None,なし
6,Abrocoma cinerea,Chinchilla Rat,ネズミ
7,Abrocoma famatina,None,ネズミ
8,Abrocoma schistacea,None,ネズミ
9,Abrocoma uspallata,None,なし
10,Abrothrix andina,Mouse,ネズミ
11,Abrothrix hershkovitzi,Mouse,ネズミ
12,Abrothrix hirta,Mouse,ネズミ
13,Abrothrix illuteus,Mouse,ネズミ
14,Abrothrix jelskii,Mouse,ネズミ
15,Abrothrix lanosus,Mouse,ネズミ
16,Abrothrix longipilis,Mouse,ネズミ
17,Abrothrix manni,Mouse,ネズミ
18,Abrothrix markhami,Mouse,ネズミ
19,Abrothrix olivaceus,Mouse,ネズミ
20,Abrothrix sanborni,Mouse,ネズミ
21,Abrothrix xanthorhinus,Mouse,ネズミ
22,Acerodon celebensis,Bat,コウモリ
23,Acerodon jubatus,Bat,コウモリ
24,Acerodon macklotii,Bat,コウモリ
25,Acinonyx jubatus,Cheetah,チーター
26,Acomys cahirinus,Mouse,ネズミ
27,Acomys chudeaui,Mouse,ネズミ
28,Acomys cilicicus,Mouse,ネズミ
29,Acomys cineraceus,Mouse,ネズミ
30,Acomys dimidiatus,Mouse,ネズミ
31,Acomys ignitus,Mouse,ネズミ
32,Acomys johannis,Mouse,ネズミ
33,Acomys kempi,Mouse,ネズミ
34,Acomys louisae,Mouse,ネズミ
35,Acomys minous,Mouse,ネズミ
36,Acomys mullah,Mouse,ネズミ
37,Acomys muzei,Mouse,ネズミ
38,Acomys nesiotes,Mouse,ネズミ
39,Acomys ngurui,Mouse,ネズミ
40,Acomys percivali,Mouse,ネズミ
41,Acomys russatus,Spiny Mouse,ネズミ
42,Acomys spinosissimus,Mouse,ネズミ
43,Acomys subspinosus,Mouse,ネズミ
44,Acomys wilsoni,Mouse,ネズミ
45,Aconaemys fuscus,Mouse,ネズミ
46,Aconaemys porteri,Mouse,ネズミ
47,Aconaemys sagei,Mouse,ネズミ
48,Acratocnus ye,None,ナマケモノ
49,Acrobates frontalis,Glider,フクロモモンガ
50,Acrobates pygmaeus,Feathertail Glider,フクロモモンガ
51,Addax nasomaculatus,Addax,なし
52,Aegialomys baroni,Mouse,ネズミ
53,Aegialomys galapagoensis,Mouse,ネズミ
54,Aegialomys ica,Mouse,ネズミ
55,Aegialomys xanthaeolus,Mouse,ネズミ
56,Aenocyon dirus,Dire Wolf,オオカミ
57,Aepeomys lugens,Mouse,ネズミ
58,Aepyceros melampus,Impala,インパラ
59,Aepyprymnus rufescens,Kangaroo,カンガルー
60,Aeretes melanopterus,Squirrel,リス
61,Aeromys tephromelas,Flying Squirrel,リス
62,Aethalops aequalis,Bat,コウモリ
63,Aethalops alecto,Bat,コウモリ
64,Aethomys bocagei,Mouse,ネズミ
65,Aethomys chrysophilus,Mouse,ネズミ
66,Aethomys hindei,Mouse,ネズミ
67,Aethomys ineptus,Mouse,ネズミ
68,Aethomys kaiseri,Mouse,ネズミ
69,Aethomys nyikae,Mouse,ネズミ
70,Aethomys silindensis,Mouse,ネズミ
71,Aethomys stannarius,Mouse,ネズミ
72,Afronycteris nanus,Bat,コウモリ
73,Ailuropoda melanoleuca,Giant Panda,パンダ
74,Ailurops ursinus,Bear Cuscus,クスクス
75,Ailurus fulgens,Red Panda,レッサーパンダ
76,Ailurus styani,Red Panda,レッサーパンダ
77,Akodon aerosus,Mouse,ネズミ
78,Akodon affinis,Mouse,ネズミ
79,Akodon albiventer,Mouse,ネズミ
80,Akodon azarae,Mouse,ネズミ
81,Akodon baliolus,Mouse,ネズミ
82,Akodon boliviensis,Mouse,ネズミ
83,Akodon budini,Mouse,ネズミ
84,Akodon caenosus,Mouse,ネズミ
85,Akodon cursor,Mouse,ネズミ
86,Akodon dayi,Mouse,ネズミ
87,Akodon diauarum,Mouse,ネズミ
88,Akodon dolores,Mouse,ネズミ
89,Akodon fumeus,Mouse,ネズミ
90,Akodon glaucinus,Mouse,ネズミ
91,Akodon iniscatus,Mouse,ネズミ
