Abeomelomys sevia
Abrawayaomys chebezi
Abrawayaomys ruschii
Abrocoma bennettii
Abrocoma boliviensis
Abrocoma cinerea
Abrocoma famatina
Abrocoma schistacea
Abrocoma uspallata
Abrothrix andina
Abrothrix hershkovitzi
Abrothrix hirta
Abrothrix illuteus
Abrothrix jelskii
Abrothrix lanosus
Abrothrix longipilis
Abrothrix manni
Abrothrix markhami
Abrothrix olivaceus
Abrothrix sanborni
Abrothrix xanthorhinus
Acerodon celebensis
Acerodon jubatus
Acerodon macklotii
Acinonyx jubatus
Acomys cahirinus
Acomys chudeaui
Acomys cilicicus
Acomys cineraceus
Acomys dimidiatus
Acomys ignitus
Acomys johannis
Acomys kempi
Acomys louisae
Acomys minous
Acomys mullah
Acomys muzei
Acomys nesiotes
Acomys ngurui
Acomys percivali
Acomys russatus
Acomys spinosissimus
Acomys subspinosus
Acomys wilsoni
Aconaemys fuscus
Aconaemys porteri
Aconaemys sagei
Acratocnus ye
Acrobates frontalis
Acrobates pygmaeus
Addax nasomaculatus
Aegialomys baroni
Aegialomys galapagoensis
Aegialomys ica
Aegialomys xanthaeolus
Aenocyon dirus
Aepeomys lugens
Aepyceros melampus
Aepyprymnus rufescens
Aeretes melanopterus
Aeromys tephromelas
Aethalops aequalis
Aethalops alecto
Aethomys bocagei
Aethomys chrysophilus
Aethomys hindei
Aethomys ineptus
Aethomys kaiseri
Aethomys nyikae
Aethomys silindensis
Aethomys stannarius
Afronycteris nanus
Ailuropoda melanoleuca
Ailurops ursinus
Ailurus fulgens
Ailurus styani
Akodon aerosus
Akodon affinis
Akodon albiventer
Akodon azarae
Akodon baliolus
Akodon boliviensis
Akodon budini
Akodon caenosus
Akodon cursor
Akodon dayi
Akodon diauarum
Akodon dolores
Akodon fumeus
Akodon glaucinus
Akodon iniscatus
Akodon josemariarguedasi
Akodon juninensis
Akodon kadiweu
Akodon kofordi
Akodon kotosh
Akodon latebricola
Akodon lindberghi
Akodon lutescens
Akodon mimus
Akodon molinae
Akodon mollis
Akodon montensis
Akodon mystax
Akodon oenos
Akodon orophilus
Akodon paranaensis
Akodon philipmyersi
Akodon polopi
Akodon reigi
Akodon serrensis
Akodon siberiae
Akodon simulator
Akodon spegazzinii
Akodon subfuscus
Akodon sylvanus
Akodon tartareus
Akodon toba
Akodon torques
Akodon urichi
Akodon varius
Akodon viridescens
Alcelaphus buselaphus
Alcelaphus caama
Alcelaphus lichtensteini
Alces alces
Alces americanus
Alexandromys evoronensis
Alexandromys fortis
Alexandromys kikuchii
Alexandromys limnophilus
Alexandromys maximowiczii
Alexandromys middendorffii
Alexandromys mongolicus
Alexandromys montebelli
Alexandromys mujanensis
Alexandromys oeconomus
Alexandromys sachalinensis
Alexandromys shantaricus
Alionycteris paucidentata
Allactaga firouzi
Allactaga major
Allactaga severtzovi
Allactodipus bobrinskii
Allenopithecus nigroviridis
Allocebus trichotus
Allochrocebus lhoesti
Allochrocebus preussi
Allochrocebus solatus
Allocricetulus curtatus
Allocricetulus eversmanni
Alouatta belzebul
Alouatta caraya
Alouatta discolor
Alouatta guariba
Alouatta juara
Alouatta macconnelli
Alouatta palliata
Alouatta pigra
Alouatta sara
Alouatta seniculus
Alouatta stramineus
Alouatta ululata
Alticola albicauda
Alticola argentatus
Alticola barakshin
Alticola lemminus
Alticola macrotis
Alticola montosus
Alticola olchonensis
Alticola semicanus
Alticola stoliczkanus
Alticola stracheyi
Alticola strelzovi
Alticola tuvinicus
Amblysomus corriae
Amblysomus hottentotus
Amblysomus marleyi
Amblysomus robustus
Amblysomus septentrionalis
Ametrida centurio
Ammodillus imbellis
Ammospermophilus harrisii
Ammospermophilus insularis
Ammospermophilus interpres
Ammospermophilus leucurus
Ammospermophilus nelsoni
Ammotragus lervia
Amphinectomys savamis
Anathana ellioti
Andalgalomys olrogi
Andalgalomys pearsoni
Andalgalomys roigi
Andinomys edax
Anisomys imitator
Anomalurus beecrofti
Anomalurus derbianus
Anomalurus pelii
Anomalurus pusillus
Anonymomys mindorensis
Anotomys leander
Anoura aequatoris
Anoura cadenai
Anoura caudifer
Anoura cultrata
Anoura fistulata
Anoura geoffroyi
Anoura latidens
Anoura luismanueli
Anoura peruana
Anourosorex squamipes
Anourosorex yamashinai
Antechinomys laniger
Antechinomys longicaudatus
Antechinus adustus
Antechinus agilis
Antechinus argentus
Antechinus arktos
Antechinus bellus
Antechinus flavipes
Antechinus godmani
Antechinus leo
Antechinus mimetes
Antechinus minimus
Antechinus mysticus
Antechinus stuartii
Antechinus subtropicus
Antechinus swainsonii
Antechinus vandycki
Anteliomys chinensis
Anteliomys custos
Anteliomys olitor
Anteliomys proditor
Anteliomys wardi
Anthops ornatus
Antidorcas marsupialis
Antillomys rayi
Antilocapra americana
Antilope cervicapra
Antrozous pallidus
Aonyx capensis
Aonyx cinereus
Aonyx congicus
Aotus azarai
Aotus brumbacki
Aotus griseimembra
