number,scientific_name,english_common_name
1,Abeomelomys sevia,Mouse
2,Abrawayaomys chebezi,Mouse
3,Abrawayaomys ruschii,Mouse
6,Abrocoma cinerea,Chinchilla Rat
10,Abrothrix andina,Mouse
11,Abrothrix hershkovitzi,Mouse
12,Abrothrix hirta,Mouse
13,Abrothrix illuteus,Mouse
14,Abrothrix jelskii,Mouse
15,Abrothrix lanosus,Mouse
16,Abrothrix longipilis,Mouse
17,Abrothrix manni,Mouse
18,Abrothrix markhami,Mouse
19,Abrothrix olivaceus,Mouse
20,Abrothrix sanborni,Mouse
21,Abrothrix xanthorhinus,Mouse
22,Acerodon celebensis,Bat
23,Acerodon jubatus,Bat
24,Acerodon macklotii,Bat
25,Acinonyx jubatus,Cheetah
26,Acomys cahirinus,Mouse
27,Acomys chudeaui,Mouse
28,Acomys cilicicus,Mouse
29,Acomys cineraceus,Mouse
30,Acomys dimidiatus,Mouse
31,Acomys ignitus,Mouse
32,Acomys johannis,Mouse
33,Acomys kempi,Mouse
34,Acomys louisae,Mouse
35,Acomys minous,Mouse
36,Acomys mullah,Mouse
37,Acomys muzei,Mouse
38,Acomys nesiotes,Mouse
39,Acomys ngurui,Mouse
40,Acomys percivali,Mouse
41,Acomys russatus,Spiny Mouse
42,Acomys spinosissimus,Mouse
43,Acomys subspinosus,Mouse
44,Acomys wilsoni,Mouse
45,Aconaemys fuscus,Mouse
46,Aconaemys porteri,Mouse
47,Aconaemys sagei,Mouse
49,Acrobates frontalis,Glider
50,Acrobates pygmaeus,Feathertail Glider
51,Addax nasomaculatus,Addax
52,Aegialomys baroni,Mouse
53,Aegialomys galapagoensis,Mouse
54,Aegialomys ica,Mouse
55,Aegialomys xanthaeolus,Mouse
56,Aenocyon dirus,Dire Wolf
57,Aepeomys lugens,Mouse
58,Aepyceros melampus,Impala
59,Aepyprymnus rufescens,Kangaroo
60,Aeretes melanopterus,Squirrel
61,Aeromys tephromelas,Flying Squirrel
62,Aethalops aequalis,Bat
63,Aethalops alecto,Bat
64,Aethomys bocagei,Mouse
65,Aethomys chrysophilus,Mouse
66,Aethomys hindei,Mouse
67,Aethomys ineptus,Mouse
68,Aethomys kaiseri,Mouse
69,Aethomys nyikae,Mouse
70,Aethomys silindensis,Mouse
71,Aethomys stannarius,Mouse
72,Afronycteris nanus,Bat
73,Ailuropoda melanoleuca,Giant Panda
74,Ailurops ursinus,Bear Cuscus
75,Ailurus fulgens,Red Panda
76,Ailurus styani,Red Panda
77,Akodon aerosus,Mouse
78,Akodon affinis,Mouse
79,Akodon albiventer,Mouse
80,Akodon azarae,Mouse
81,Akodon baliolus,Mouse
82,Akodon boliviensis,Mouse
83,Akodon budini,Mouse
84,Akodon caenosus,Mouse
85,Akodon cursor,Mouse
86,Akodon dayi,Mouse
87,Akodon diauarum,Mouse
88,Akodon dolores,Mouse
89,Akodon fumeus,Mouse
90,Akodon glaucinus,Mouse
91,Akodon iniscatus,Mouse
92,Akodon josemariarguedasi,Mouse
93,Akodon juninensis,Mouse
94,Akodon kadiweu,Mouse
95,Akodon kofordi,Mouse
96,Akodon kotosh,Mouse
97,Akodon latebricola,Mouse
98,Akodon lindberghi,Mouse
99,Akodon lutescens,Mouse
100,Akodon mimus,Mouse
101,Akodon molinae,Mouse
102,Akodon mollis,Mouse
103,Akodon montensis,Mouse
104,Akodon mystax,Mouse
105,Akodon oenos,Mouse
106,Akodon orophilus,Mouse
107,Akodon paranaensis,Mouse
108,Akodon philipmyersi,Mouse
109,Akodon polopi,Mouse
110,Akodon reigi,Mouse
111,Akodon serrensis,Mouse
112,Akodon siberiae,Mouse
113,Akodon simulator,Mouse
114,Akodon spegazzinii,Mouse
115,Akodon subfuscus,Mouse
116,Akodon sylvanus,Mouse
117,Akodon tartareus,Mouse
118,Akodon toba,Mouse
119,Akodon torques,Mouse
120,Akodon urichi,Mouse
121,Akodon varius,Mouse
122,Akodon viridescens,Mouse
123,Alcelaphus buselaphus,Hartebeest
124,Alcelaphus caama,Hartebeest
125,Alcelaphus lichtensteini,Antelope
126,Alces alces,Moose
127,Alces americanus,Moose
128,Alexandromys evoronensis,Mouse
129,Alexandromys fortis,Mouse
130,Alexandromys kikuchii,Mouse
131,Alexandromys limnophilus,Mouse
132,Alexandromys maximowiczii,Mouse
133,Alexandromys middendorffii,Mouse
134,Alexandromys mongolicus,Mouse
135,Alexandromys montebelli,Mouse
136,Alexandromys mujanensis,Mouse
137,Alexandromys oeconomus,Vole
138,Alexandromys sachalinensis,Mouse
139,Alexandromys shantaricus,Mouse
140,Alionycteris paucidentata,Bat
141,Allactaga firouzi,Jerboa
142,Allactaga major,Jerboa
143,Allactaga severtzovi,Jerboa
144,Allactodipus bobrinskii,Jerboa
145,Allenopithecus nigroviridis,Monkey
146,Allocebus trichotus,Monkey
147,Allochrocebus lhoesti,Monkey
148,Allochrocebus preussi,Monkey
149,Allochrocebus solatus,Monkey
150,Allocricetulus curtatus,Hamster
151,Allocricetulus eversmanni,Hamster
152,Alouatta belzebul,Monkey
153,Alouatta caraya,Howler Monkey
154,Alouatta discolor,Monkey
155,Alouatta guariba,Howler Monkey
156,Alouatta juara,Monkey
157,Alouatta macconnelli,Monkey
158,Alouatta palliata,Howler Monkey
159,Alouatta pigra,Howler Monkey
160,Alouatta sara,Monkey
161,Alouatta seniculus,Howler Monkey
162,Alouatta stramineus,Monkey
163,Alouatta ululata,Howler Monkey
164,Alticola albicauda,Mouse
165,Alticola argentatus,Mouse
166,Alticola barakshin,Mouse
167,Alticola lemminus,Mouse
168,Alticola macrotis,Mouse
169,Alticola montosus,Mouse
170,Alticola olchonensis,Mouse
171,Alticola semicanus,Mouse
172,Alticola stoliczkanus,Mouse
173,Alticola stracheyi,Mouse
174,Alticola strelzovi,Mouse
175,Alticola tuvinicus,Mouse
176,Amblysomus corriae,Golden Mole
177,Amblysomus hottentotus,Golden Mole
178,Amblysomus marleyi,Golden Mole
179,Amblysomus robustus,Mole
180,Amblysomus septentrionalis,Golden Mole
181,Ametrida centurio,Bat
183,Ammospermophilus harrisii,Harris's Antelope Squirrel
184,Ammospermophilus insularis,Squirrel
185,Ammospermophilus interpres,Antelope Squirrel
186,Ammospermophilus leucurus,Antelope Squirrel
187,Ammospermophilus nelsoni,Squirrel
188,Ammotragus lervia,Barbary Sheep
189,Amphinectomys savamis,Mouse
190,Anathana ellioti,Monkey
191,Andalgalomys olrogi,Mouse
192,Andalgalomys pearsoni,Mouse
193,Andalgalomys roigi,Mouse
194,Andinomys edax,Mouse
195,Anisomys imitator,Rat
196,Anomalurus beecrofti,Flying Squirrel
197,Anomalurus derbianus,Flying Squirrel
198,Anomalurus pelii,Flying Squirrel
199,Anomalurus pusillus,Flying Squirrel
200,Anonymomys mindorensis,Mouse
201,Anotomys leander,Mouse
202,Anoura aequatoris,Bat
203,Anoura cadenai,Bat
204,Anoura caudifer,Bat
205,Anoura cultrata,Bat
206,Anoura fistulata,Bat
207,Anoura geoffroyi,Bat
208,Anoura latidens,Bat
209,Anoura luismanueli,Bat
210,Anoura peruana,Bat
211,Anourosorex squamipes,Shrew
212,Anourosorex yamashinai,Shrew
213,Antechinomys laniger,Mouse
215,Antechinus adustus,Mouse
216,Antechinus agilis,Mouse
217,Antechinus argentus,Mouse
218,Antechinus arktos,Mouse
219,Antechinus bellus,Mouse
220,Antechinus flavipes,Mouse
221,Antechinus godmani,Mouse
222,Antechinus leo,Mouse
223,Antechinus mimetes,Mouse
224,Antechinus minimus,Mouse
225,Antechinus mysticus,Mouse
226,Antechinus stuartii,Mouse
227,Antechinus subtropicus,Mouse
228,Antechinus swainsonii,Mouse
229,Antechinus vandycki,Mouse
230,Anteliomys chinensis,Mouse
231,Anteliomys custos,Mouse
232,Anteliomys olitor,Mouse
233,Anteliomys proditor,Mouse
234,Anteliomys wardi,Mouse
235,Anthops ornatus,Bat
236,Antidorcas marsupialis,Springbok
237,Antillomys rayi,Mouse
238,Antilocapra americana,Pronghorn
239,Antilope cervicapra,Blackbuck
240,Antrozous pallidus,Bat
241,Aonyx capensis,Otter
242,Aonyx cinereus,Otter
243,Aonyx congicus,Otter
244,Aotus azarai,Monkey
245,Aotus brumbacki,Monkey
246,Aotus griseimembra,Monkey
247,Aotus lemurinus,Monkey
248,Aotus nancymaae,Monkey
249,Aotus nigriceps,Monkey
250,Aotus trivirgatus,Monkey
251,Aotus vociferans,Monkey
252,Aotus zonalis,Monkey
253,Aplodontia rufa,Mountain Beaver
254,Apodemus agrarius,Mouse
255,Apodemus alpicola,Mouse
256,Apodemus argenteus,Mouse
257,Apodemus chejuensis,Mouse
258,Apodemus chevrieri,Mouse
259,Apodemus ciscaucasicus,Mouse
260,Apodemus draco,Mouse
261,Apodemus epimelas,Mouse
262,Apodemus flavicollis,Mouse
263,Apodemus fulvipectus,Mouse
264,Apodemus gurkha,Mouse
265,Apodemus hermonensis,Mouse
266,Apodemus hyrcanicus,Mouse
267,Apodemus iconicus,Mouse
268,Apodemus ilex,Mouse
269,Apodemus latronum,Mouse
270,Apodemus mystacinus,Mouse
271,Apodemus nigrus,Mouse
272,Apodemus pallipes,Mouse
273,Apodemus peninsulae,Mouse
274,Apodemus ponticus,Mouse
275,Apodemus rusiges,Mouse
276,Apodemus semotus,Mouse
277,Apodemus speciosus,Mouse
278,Apodemus sylvaticus,Mouse
279,Apodemus uralensis,Mouse
280,Apodemus wardi,Mouse
281,Apodemus witherbyi,Mouse
282,Apomys abrae,Mouse
283,Apomys aurorae,Mouse
284,Apomys banahao,Mouse
285,Apomys brownorum,Mouse
286,Apomys camiguinensis,Mouse
287,Apomys datae,Mouse
288,Apomys gracilirostris,Mouse
289,Apomys hylocoetes,Mouse
290,Apomys insignis,Mouse
291,Apomys iridensis,Mouse
292,Apomys littoralis,Mouse
293,Apomys lubangensis,Mouse
294,Apomys magnus,Mouse
295,Apomys microdon,Mouse
296,Apomys minganensis,Mouse
297,Apomys musculus,Mouse
298,Apomys sacobianus,Mouse
299,Apomys sierrae,Mouse
300,Apomys zambalensis,Mouse
301,Aproteles bulmerae,Bat
302,Arabitragus jayakari,Goat
303,Arborimus albipes,Mouse
