number,scientific_name,japanese_common_name
1,Abeomelomys sevia,ネズミ
2,Abrawayaomys chebezi,ネズミ
3,Abrawayaomys ruschii,ネズミ
4,Abrocoma bennettii,ネズミ
6,Abrocoma cinerea,ネズミ
7,Abrocoma famatina,ネズミ
8,Abrocoma schistacea,ネズミ
10,Abrothrix andina,ネズミ
11,Abrothrix hershkovitzi,ネズミ
12,Abrothrix hirta,ネズミ
13,Abrothrix illuteus,ネズミ
14,Abrothrix jelskii,ネズミ
15,Abrothrix lanosus,ネズミ
16,Abrothrix longipilis,ネズミ
17,Abrothrix manni,ネズミ
18,Abrothrix markhami,ネズミ
19,Abrothrix olivaceus,ネズミ
20,Abrothrix sanborni,ネズミ
21,Abrothrix xanthorhinus,ネズミ
22,Acerodon celebensis,コウモリ
23,Acerodon jubatus,コウモリ
24,Acerodon macklotii,コウモリ
25,Acinonyx jubatus,チーター
26,Acomys cahirinus,ネズミ
27,Acomys chudeaui,ネズミ
28,Acomys cilicicus,ネズミ
29,Acomys cineraceus,ネズミ
30,Acomys dimidiatus,ネズミ
31,Acomys ignitus,ネズミ
32,Acomys johannis,ネズミ
33,Acomys kempi,ネズミ
34,Acomys louisae,ネズミ
35,Acomys minous,ネズミ
36,Acomys mullah,ネズミ
37,Acomys muzei,ネズミ
38,Acomys nesiotes,ネズミ
39,Acomys ngurui,ネズミ
40,Acomys percivali,ネズミ
41,Acomys russatus,ネズミ
42,Acomys spinosissimus,ネズミ
43,Acomys subspinosus,ネズミ
44,Acomys wilsoni,ネズミ
45,Aconaemys fuscus,ネズミ
46,Aconaemys porteri,ネズミ
47,Aconaemys sagei,ネズミ
48,Acratocnus ye,ナマケモノ
49,Acrobates frontalis,フクロモモンガ
50,Acrobates pygmaeus,フクロモモンガ
52,Aegialomys baroni,ネズミ
53,Aegialomys galapagoensis,ネズミ
54,Aegialomys ica,ネズミ
55,Aegialomys xanthaeolus,ネズミ
56,Aenocyon dirus,オオカミ
57,Aepeomys lugens,ネズミ
58,Aepyceros melampus,インパラ
59,Aepyprymnus rufescens,カンガルー
60,Aeretes melanopterus,リス
61,Aeromys tephromelas,リス
62,Aethalops aequalis,コウモリ
63,Aethalops alecto,コウモリ
64,Aethomys bocagei,ネズミ
65,Aethomys chrysophilus,ネズミ
66,Aethomys hindei,ネズミ
67,Aethomys ineptus,ネズミ
68,Aethomys kaiseri,ネズミ
69,Aethomys nyikae,ネズミ
70,Aethomys silindensis,ネズミ
71,Aethomys stannarius,ネズミ
72,Afronycteris nanus,コウモリ
73,Ailuropoda melanoleuca,パンダ
74,Ailurops ursinus,クスクス
75,Ailurus fulgens,レッサーパンダ
76,Ailurus styani,レッサーパンダ
77,Akodon aerosus,ネズミ
78,Akodon affinis,ネズミ
79,Akodon albiventer,ネズミ
80,Akodon azarae,ネズミ
81,Akodon baliolus,ネズミ
82,Akodon boliviensis,ネズミ
83,Akodon budini,ネズミ
84,Akodon caenosus,ネズミ
85,Akodon cursor,ネズミ
86,Akodon dayi,ネズミ
87,Akodon diauarum,ネズミ
88,Akodon dolores,ネズミ
89,Akodon fumeus,ネズミ
90,Akodon glaucinus,ネズミ
91,Akodon iniscatus,ネズミ
92,Akodon josemariarguedasi,ネズミ
93,Akodon juninensis,ネズミ
94,Akodon kadiweu,ネズミ
95,Akodon kofordi,ネズミ
96,Akodon kotosh,ネズミ
97,Akodon latebricola,ネズミ
98,Akodon lindberghi,ネズミ
